均方根_RMS,峰值_Peak,峰峰值_PeakToPeak,偏度_Skewness,峭度_Kurtosis,峰值因子_CrestFactor,频率重心_Hz,0到1kHz能量占比,1到3kHz能量占比,3到5kHz能量占比,一倍频能量占比,二倍频能量占比,三四倍频能量占比
0.014964575879275799,0.05184540897607803,0.09800451993942261,-0.08502083271741867,2.870900869369507,3.4645424896012833,1389.8111897744254,0.5256821513175964,0.3789636790752411,0.09527680277824402,0.12391392886638641,0.0032405462116003036,0.3117048442363739
0.030541153624653816,0.09280211478471756,0.1651494950056076,-0.12569139897823334,2.133716106414795,3.038592317834585,624.9381547610102,0.8799984455108643,0.07240322232246399,0.04759746044874191,0.04559660702943802,0.001859715091995895,0.8074086904525757
0.014561990275979042,0.048629146069288254,0.09320847690105438,-0.002901774598285556,2.9323770999908447,3.33945739176641,1501.491815500446,0.4740877151489258,0.39498990774154663,0.13092204928398132,0.1401856541633606,0.003391762962564826,0.2276737093925476
0.025965023785829544,0.08559566736221313,0.15628096461296082,0.0724928006529808,2.3213248252868652,3.2965757345321802,607.5732932047986,0.8762145638465881,0.07906752824783325,0.04470718279480934,0.028454262763261795,0.0016228299355134368,0.8263832330703735
0.030884183943271637,0.08445610851049423,0.15604352951049805,-0.15242838859558105,2.1582729816436768,2.7346070941323695,617.8929517343596,0.8789507746696472,0.0757175013422966,0.04532277584075928,0.043474845588207245,0.0012448206543922424,0.8097360730171204
0.026081781834363937,0.0719553679227829,0.13830789923667908,0.061899520456790924,2.239765167236328,2.758836354701027,636.0262320167693,0.8617246150970459,0.08858346939086914,0.04968790337443352,0.03093896061182022,0.0012002990115433931,0.8083410263061523
0.03077031299471855,0.0821099728345871,0.15387728810310364,-0.1355399340391159,2.118216037750244,2.668480260373434,612.4363535179937,0.8897328972816467,0.062405578792095184,0.04786147549748421,0.041132088750600815,0.0015754287596791983,0.8264251351356506
0.018043171614408493,0.0580921396613121,0.10693790018558502,-0.29089024662971497,2.666749954223633,3.2196190835818816,1048.7184630653694,0.7208523154258728,0.16750174760818481,0.11164552718400955,0.08815489709377289,0.00240335357375443,0.5875591039657593
0.01536127645522356,0.060271717607975006,0.10457965731620789,-0.08039248734712601,2.991065502166748,3.9236138858471072,1436.0317607788195,0.5129992365837097,0.3537766635417938,0.13284847140312195,0.12203040719032288,0.003443697700276971,0.25706732273101807
0.015490317717194557,0.05248882248997688,0.10422535985708237,-0.09543590992689133,2.754345417022705,3.3884923114472185,1424.1894830358005,0.5029323101043701,0.3727720379829407,0.12427294999361038,0.12354426831007004,0.005072501953691244,0.24663713574409485
0.03081263042986393,0.08282922953367233,0.15736261010169983,-0.13530577719211578,2.1125388145446777,2.6881583420643373,587.5153841064811,0.891185998916626,0.0682915672659874,0.04002133011817932,0.044885240495204926,0.0018185956869274378,0.8243107199668884
0.01571200042963028,0.06810467690229416,0.11755102127790451,-0.05774100869894028,3.022392511367798,4.334564347995132,1491.8651513509276,0.47694501280784607,0.3991716206073761,0.12382854521274567,0.11820688843727112,0.003796104807406664,0.24407319724559784
0.014620538800954819,0.04976261034607887,0.09071053564548492,-0.14837542176246643,2.761852979660034,3.4036098819713425,1320.3246337619428,0.5406221747398376,0.37496599555015564,0.08440221101045609,0.13370275497436523,0.0034459468442946672,0.30379658937454224
0.015510362572968006,0.05657826364040375,0.10402946174144745,-0.1834833025932312,3.0110297203063965,3.6477718280656135,1456.7747019893598,0.48066216707229614,0.4081500768661499,0.1111830547451973,0.12171043455600739,0.0033939755521714687,0.25086432695388794
0.014484693296253681,0.05158565938472748,0.09826669842004776,-0.1368320882320404,2.994051694869995,3.561391209747478,1506.8700537043712,0.4730106294155121,0.39899691939353943,0.12789374589920044,0.14364004135131836,0.004112880676984787,0.2191641926765442
0.01496991328895092,0.05426187813282013,0.10606003552675247,-0.11441972851753235,2.903249502182007,3.6247289534566187,1481.2548610236556,0.46613433957099915,0.4146186411380768,0.11920926719903946,0.13055333495140076,0.004248541779816151,0.21956448256969452
0.017763685435056686,0.05595653876662254,0.1036057099699974,-0.253568559885025,2.584660768508911,3.150052333906009,1025.4670216480401,0.7124479413032532,0.1864287406206131,0.10112331062555313,0.090114526450634,0.0016940863570198417,0.5913386344909668
0.014909515157341957,0.07100837677717209,0.11348509788513184,-0.14558647572994232,2.9022562503814697,4.762621455027161,1356.6862706598351,0.5238296985626221,0.36327192187309265,0.11289547383785248,0.12828585505485535,0.0035460772924125195,0.27040374279022217
0.02538403496146202,0.0705135390162468,0.1311783790588379,0.06939435750246048,2.281214952468872,2.777869598766406,638.8475536539065,0.8681997060775757,0.08032788336277008,0.05147191509604454,0.031155671924352646,0.0015372693305835128,0.8158137202262878
0.015242350287735462,0.05251191556453705,0.09243809431791306,-0.1614474505186081,2.902029037475586,3.4451324480677283,1520.120592807873,0.43694740533828735,0.4543512165546417,0.1086520254611969,0.12774215638637543,0.0038231918588280678,0.20735585689544678
0.017821934074163437,0.0559423603117466,0.10470598936080933,-0.265136182308197,2.649012804031372,3.138961241569601,1067.8823780145713,0.7013530135154724,0.18553879857063293,0.11302825808525085,0.08921482414007187,0.001445538131520152,0.5698676705360413
0.015083571895956993,0.05538066476583481,0.1046113669872284,-0.1406545341014862,2.927563428878784,3.67158821160971,1422.5032456684605,0.5198667645454407,0.3510177731513977,0.12910430133342743,0.12733137607574463,0.003934299573302269,0.263004869222641
0.015099248848855495,0.06668522208929062,0.1145000159740448,-0.3157784640789032,3.2873928546905518,4.416459570432791,1543.364376383473,0.4630071222782135,0.39403820037841797,0.1429109126329422,0.13894245028495789,0.003380492562428117,0.21032942831516266
0.015533510595560074,0.06062833219766617,0.11764572560787201,-0.03235691413283348,2.8837175369262695,3.9030669738682526,1467.0954683801403,0.4913903772830963,0.3754386007785797,0.1331707388162613,0.1200108528137207,0.003944587893784046,0.24843978881835938
0.014829945750534534,0.05036286264657974,0.0963602066040039,-0.17781753838062286,3.0138373374938965,3.396024738753237,1500.8282539723414,0.47484293580055237,0.3906617760658264,0.1344953328371048,0.13941647112369537,0.004126803018152714,0.2183258980512619
