方法,特征名称,真实均值,生成均值,均值相对误差_%,真实标准差,生成标准差,标准差相对误差_%,JS散度,Wasserstein距离,短名称
传统加噪扩充,均方根_RMS,0.019871395276507355,0.01989979255903952,0.14290532766114802,0.006194364820310306,0.006204193516917878,0.15867158120487984,0.001559410112028902,2.844446527538021e-05,加噪
传统加噪扩充,峰值_Peak,0.06484540053915322,0.06499490627905893,0.2305572001411852,0.013322823315486577,0.013410858012510197,0.6607810892056184,0.0069273778906675815,0.00018489116723867892,加噪
传统加噪扩充,峰峰值_PeakToPeak,0.12137443612394737,0.12163543675995228,0.2150375683197646,0.024503759509958648,0.02465041617387692,0.5985067877142883,0.003096273740487552,0.0002975235783835319,加噪
传统加噪扩充,偏度_Skewness,-0.11217979618308442,-0.11167447979310466,0.4504522268435486,0.11784358095383264,0.11758143316646284,0.22245402358425886,0.003771646753526513,0.0009070391255781597,加噪
传统加噪扩充,峭度_Kurtosis,2.676887864099745,2.678615428191553,0.06453628913546339,0.34885109577561985,0.3470316200030312,0.5215622925128164,0.004748918752049025,0.0026053489278681902,加噪
传统加噪扩充,峰值因子_CrestFactor,3.376791061653246,3.3788697171918516,0.06155712629692104,0.4805442385290546,0.4784629068156443,0.4331196894123459,0.005563431504076006,0.005398224578521406,加噪
传统加噪扩充,频率重心_Hz,1096.0552237507045,1100.000857153272,0.3599849092516923,353.53888036796917,352.7093887220515,0.23462529639013047,0.004238292733573764,3.94732635214104,加噪
传统加噪扩充,0到1kHz能量占比,0.6599279432157471,0.6586456665980447,0.19430554970169892,0.1635673172604823,0.16316885559068586,0.2436071438155581,0.002889839542995658,0.0012887022100636504,加噪
传统加噪扩充,1到3kHz能量占比,0.250237199148208,0.2506275847255501,0.15600621277305873,0.13438672206315216,0.13402965312088735,0.2657025461893147,0.0008871326689311537,0.0005274555130615267,加噪
传统加噪扩充,3到5kHz能量占比,0.08979808398546973,0.09068743452719943,0.9903892179522472,0.03479106707298746,0.03472431667804361,0.1918607290828216,0.006661235774958353,0.0008921693703255703,加噪
传统加噪扩充,一倍频能量占比,0.0923893787756238,0.09212469153814573,0.2864909808713156,0.042951187805842804,0.04283503704265961,0.2704250315626614,0.0027675464652217076,0.00027443537486446137,加噪
传统加噪扩充,二倍频能量占比,0.0026139219102549994,0.002607466677992678,0.24695581893729524,0.0012685707346363454,0.0012677773117039737,0.06254463468871137,0.00472730589306136,1.6146682721284245e-05,加噪
传统加噪扩充,三四倍频能量占比,0.4978631638237974,0.4965871437138025,0.25629936149362,0.24627859907819133,0.2456339786060349,0.26174441245264624,0.0022919756692546312,0.0012859036422677057,加噪
VAE残差扩充,均方根_RMS,0.019871395276507355,0.019705899173387446,0.8328358467471902,0.006194364820310306,0.005963611417346169,3.7252149271267068,0.01744761454305513,0.0002536665715430817,VAE
VAE残差扩充,峰值_Peak,0.06484540053915322,0.05914296195090227,8.793898319310895,0.013322823315486577,0.005549161918397629,58.348453720535986,0.2454377779597075,0.006170689353435584,VAE
VAE残差扩充,峰峰值_PeakToPeak,0.12137443612394737,0.11177179796401442,7.911582097936701,0.024503759509958648,0.010947249547957536,55.3242042550178,0.2287480891880912,0.010363594615001994,VAE
VAE残差扩充,偏度_Skewness,-0.11217979618308442,-0.11199289022745575,0.16661285007325757,0.11784358095383264,0.11667263639512057,0.9936430556712903,0.022992368640287877,0.007397691181046491,VAE
VAE残差扩充,峭度_Kurtosis,2.676887864099745,2.6622970735767315,0.5450654365723647,0.34885109577561985,0.3735463646433153,7.079028607526178,0.07475251089336041,0.02398374871290017,VAE
VAE残差扩充,峰值因子_CrestFactor,3.376791061653246,3.1892967340362945,5.552440888217122,0.4805442385290546,0.6668619535390233,38.77222949959807,0.17007171924968187,0.18787573273388566,VAE
VAE残差扩充,频率重心_Hz,1096.0552237507045,1102.1754915581291,0.5583904601522762,353.53888036796917,352.027986692396,0.42736280490581924,0.008129571403402553,8.716140239856959,VAE
VAE残差扩充,0到1kHz能量占比,0.6599279432157471,0.6567631260431099,0.47957011142922834,0.1635673172604823,0.1630292487003981,0.3289584796601119,0.009880337765391307,0.004175164991774244,VAE
VAE残差扩充,1到3kHz能量占比,0.250237199148208,0.25308022322079843,1.136131671173,0.13438672206315216,0.13437694822756793,0.007272917617237259,0.007631585001447316,0.0036536615751555685,VAE
VAE残差扩充,3到5kHz能量占比,0.08979808398546973,0.0901162624849862,0.35432660185089637,0.03479106707298746,0.03467636194577974,0.32969706552484224,0.006512547032745056,0.0009570950887593754,VAE
VAE残差扩充,一倍频能量占比,0.0923893787756238,0.09100443484925186,1.4990293740586913,0.042951187805842804,0.04208964001366808,2.0058765220864685,0.09985186398124082,0.0034306229103915607,VAE
