特征名称,数量,均值,标准差,最小值,25分位数,中位数,75分位数,最大值
均方根_RMS,1746.0,0.019820856251023103,0.006112789426010877,0.01378579530864954,0.01490412768907845,0.016886682249605656,0.0255135465413332,0.03175806626677513
峰值_Peak,1746.0,0.05887887626886368,0.0057322274176739305,0.04176734760403633,0.054213425144553185,0.06036674603819847,0.06425385922193527,0.06440145522356033
峰峰值_PeakToPeak,1746.0,0.11142145064824772,0.011362690927856384,0.08073246479034424,0.10205768421292305,0.11148380860686302,0.1240321695804596,0.12403217703104019
偏度_Skewness,1746.0,-0.11127932977096872,0.11404120168371944,-0.41309794783592224,-0.1621340624988079,-0.11436882615089417,-0.04574377741664648,0.10826978832483292
峭度_Kurtosis,1746.0,2.6504494406513333,0.3778789913239382,1.983082890510559,2.2517271637916565,2.7807767391204834,2.9521144032478333,3.354278326034546
峰值因子_CrestFactor,1746.0,3.163097419078305,0.6685544352568518,2.0247141609248027,2.50864980332405,3.369726233730645,3.643763428370133,4.484795425938188
频率重心_Hz,1746.0,1094.9233818592254,355.2614201735599,559.2116096516387,645.5149816947454,1186.4062979503299,1422.1654944225684,1631.168046954369
0到1kHz能量占比,1746.0,0.6604638930585103,0.16431208232687347,0.4064891040325165,0.5048463195562363,0.6230639517307281,0.8599899858236313,0.9040775299072266
1到3kHz能量占比,1746.0,0.24980300247993528,0.13488377833508872,0.05815914273262024,0.0951756164431572,0.2749212384223938,0.37623631209135056,0.48259490728378296
3到5kHz能量占比,1746.0,0.089673566061231,0.03502588130026379,0.03486265614628792,0.048077491112053394,0.09820159152150154,0.11790238507091999,0.17257189750671387
一倍频能量占比,1746.0,0.09223885086171953,0.043111533218273504,0.026282884180545807,0.04154667351394892,0.10173966363072395,0.13106858730316162,0.15008293092250824
二倍频能量占比,1746.0,0.0026031690304976207,0.0012808607512780953,0.0003706027055159211,0.0014142260770313442,0.0024222584906965494,0.0037436452112160623,0.005962922237813473
三四倍频能量占比,1746.0,0.49847785415040397,0.24710172399410624,0.19092752039432526,0.2542199417948723,0.4389784187078476,0.8033915460109711,0.840812087059021
