样本编号,均方根_RMS,峰值_Peak,峰峰值_PeakToPeak,偏度_Skewness,峭度_Kurtosis,峰值因子_CrestFactor,频率重心_Hz,0到1kHz能量占比,1到3kHz能量占比,3到5kHz能量占比,一倍频能量占比,二倍频能量占比,三四倍频能量占比
0,0.030312739312648773,0.09807208180427551,0.1698242425918579,-0.16138572990894318,2.1671323776245117,3.235342104503141,634.3900606381391,0.8744261264801025,0.07700652629137039,0.048559870570898056,0.043017320334911346,0.0011905105784535408,0.8135177493095398
1,0.030348127707839012,0.08221913874149323,0.1537953019142151,-0.1294563263654709,2.102639675140381,2.7091997084731716,618.036556285357,0.8835464119911194,0.06753911823034286,0.048912160098552704,0.04049462825059891,0.0012479518773034215,0.8182247281074524
2,0.0312880203127861,0.07767100632190704,0.15476644039154053,-0.12072137743234634,2.067812442779541,2.4824519270618,612.2259289466143,0.8869248032569885,0.06548910588026047,0.04758372902870178,0.042542003095149994,0.001017882372252643,0.8256314992904663
3,0.030682392418384552,0.09211796522140503,0.16814225912094116,-0.1343977302312851,2.1591925621032715,3.0023071200669036,595.7643178236509,0.8855782151222229,0.07370875775814056,0.040709879249334335,0.039990730583667755,0.0009692090097814798,0.8222852349281311
4,0.030164901167154312,0.09316956251859665,0.16232115030288696,-0.14369983971118927,2.2725419998168945,3.088674549245917,615.9368956627106,0.8768622875213623,0.0798947885632515,0.04324285686016083,0.043874457478523254,0.0012429464841261506,0.8128623962402344
5,0.03114216960966587,0.08234994113445282,0.15471932291984558,-0.13006943464279175,2.2025065422058105,2.6443225428407153,621.9681508121453,0.8784915208816528,0.07534857839345932,0.04615974426269531,0.04253547266125679,0.0009899056749418378,0.8124894499778748
6,0.03135114908218384,0.08573432266712189,0.15759068727493286,-0.11549422144889832,2.110625982284546,2.7346469004897864,618.0789110312234,0.8811032772064209,0.07220812141895294,0.04668503254652023,0.040470946580171585,0.0011272499104961753,0.8220946192741394
7,0.03131098300218582,0.08797218650579453,0.16898101568222046,-0.11730699986219406,2.10623836517334,2.8096271042286842,609.5326470584148,0.8837392330169678,0.07044278085231781,0.04581722989678383,0.04024247080087662,0.000769634498283267,0.8185328841209412
8,0.030379461124539375,0.0892002135515213,0.17078110575675964,-0.12963595986366272,2.179291248321533,2.936201309921609,625.4449147794684,0.8751928210258484,0.07763368636369705,0.04717318341135979,0.04246090352535248,0.0013091603759676218,0.80909663438797
9,0.030701225623488426,0.07987024635076523,0.15688863396644592,-0.13081157207489014,2.14178466796875,2.6015328289388484,644.1078759473389,0.8677698373794556,0.08508865535259247,0.04713135585188866,0.04400551691651344,0.0013253596844151616,0.8035924434661865
10,0.03131852671504021,0.08236543834209442,0.15948307514190674,-0.1384621113538742,2.099928617477417,2.6299269786503032,632.9461297963632,0.8776612281799316,0.07529842108488083,0.04702523723244667,0.041698865592479706,0.001443977002054453,0.8195653557777405
11,0.031030159443616867,0.08554767817258835,0.16002696752548218,-0.14291000366210938,2.0693235397338867,2.7569203543821694,600.500222694897,0.8917436599731445,0.062279339879751205,0.04597194865345955,0.04163225367665291,0.001558466232381761,0.8304595351219177
12,0.03075983375310898,0.08758425712585449,0.16266542673110962,-0.13324061036109924,2.1150522232055664,2.8473579482254117,590.8644389640497,0.8896346092224121,0.06923938542604446,0.04112022742629051,0.04386669769883156,0.0016486954409629107,0.8249542713165283
13,0.030918601900339127,0.08738727122545242,0.16239847242832184,-0.12559473514556885,2.166897773742676,2.8263655486203456,634.1579044609159,0.8744354248046875,0.08081825822591782,0.04474593326449394,0.0393158458173275,0.0016418381128460169,0.8121331334114075
14,0.03087948076426983,0.08603125065565109,0.16611909866333008,-0.11288399249315262,2.1482739448547363,2.7860329423806407,642.476608841114,0.8741774559020996,0.07664940506219864,0.04917265474796295,0.04335533827543259,0.0016227398300543427,0.8075370192527771
15,0.030417514964938164,0.10331737995147705,0.18385516107082367,-0.12055877596139908,2.2345428466796875,3.3966410493155963,663.8696984641493,0.8631744384765625,0.08452507853507996,0.05229881778359413,0.042955901473760605,0.0013402121840044856,0.8026551008224487
16,0.030597282573580742,0.10414568334817886,0.19380302727222443,-0.13133659958839417,2.2314794063568115,3.4037559738948784,655.4565499417754,0.8643286228179932,0.08303096145391464,0.05263214558362961,0.04163851588964462,0.0011182278394699097,0.798231840133667
17,0.030432675033807755,0.0896502360701561,0.16889804601669312,-0.13139183819293976,2.1269161701202393,2.9458546107963732,620.9457138937742,0.8758760690689087,0.07762238383293152,0.04649277776479721,0.04440411925315857,0.001077215769328177,0.8146688938140869
18,0.030158430337905884,0.07898875325918198,0.15307120978832245,-0.13055701553821564,2.0949923992156982,2.6191268037342956,634.9675223645329,0.8709858059883118,0.08043576776981354,0.048576850444078445,0.041284963488578796,0.0011863288236781955,0.8054161071777344
19,0.030830714851617813,0.09214285016059875,0.17243969440460205,-0.12660719454288483,2.1367204189300537,2.9886705709249872,638.9451296028466,0.8735306262969971,0.07805939018726349,0.04840448871254921,0.04192362353205681,0.000841705419588834,0.8135745525360107
20,0.03099111281335354,0.08753249794244766,0.17307092249393463,-0.10123124718666077,2.1536450386047363,2.8244386855933414,626.9929155227288,0.8780006766319275,0.07622191309928894,0.045766234397888184,0.04185326397418976,0.0007967007695697248,0.8169960975646973
21,0.031400371342897415,0.08564867824316025,0.17086750268936157,-0.12932458519935608,2.1402342319488525,2.7276326545675027,623.7523593597585,0.8772979378700256,0.0768219456076622,0.04587065428495407,0.03948112949728966,0.0011467140866443515,0.8208761811256409
22,0.031448278576135635,0.10113436728715897,0.1767244040966034,-0.15145106613636017,2.198225498199463,3.215895173374875,640.3079750347455,0.8660058379173279,0.08931884914636612,0.0446745939552784,0.04127797111868858,0.0009238400962203741,0.8004439473152161
