特征名称,数量,均值,标准差,最小值,25分位数,中位数,75分位数,最大值
均方根_RMS,1746.0,0.01987139527384034,0.006194364829219575,0.013787556439638138,0.014903239905834198,0.016904667019844055,0.025573586113750935,0.03210895135998726
峰值_Peak,1746.0,0.06484540053915322,0.013322823315486577,0.04181713983416557,0.05419742036610842,0.06103835441172123,0.0742423590272665,0.10584549605846405
峰峰值_PeakToPeak,1746.0,0.12137443612394737,0.024503759509958648,0.0809025764465332,0.1020956039428711,0.11207103729248047,0.14068007469177246,0.19397974014282227
偏度_Skewness,1746.0,-0.11217979690212906,0.11784358169004477,-0.4205135703086853,-0.1648694947361946,-0.12157043814659119,-0.04681050591170788,0.12964089214801788
峭度_Kurtosis,1746.0,2.676887866284566,0.34885110093535504,2.061433792114258,2.2950631380081177,2.7872201204299927,2.956886947154999,3.3621392250061035
峰值因子_CrestFactor,1746.0,3.3767910630844975,0.48054424139726964,2.3830636278133834,2.9732998297029605,3.3796872758862317,3.6972857852716037,5.293434554891362
频率重心_Hz,1746.0,1096.0552216353367,353.53888077243954,565.2953270037436,650.0912873494942,1186.6557582811447,1421.8811841812462,1629.9892637329006
0到1kHz能量占比,1746.0,0.6599279428572998,0.16356731557151602,0.40567752718925476,0.50501649081707,0.6229057610034943,0.8585095852613449,0.9015492796897888
1到3kHz能量占比,1746.0,0.25023719806646566,0.13438672172188051,0.05960537865757942,0.09611717984080315,0.27514076232910156,0.3763621002435684,0.4832359552383423
3到5kHz能量占比,1746.0,0.08979808363982424,0.034791066828224616,0.03491397202014923,0.048540448769927025,0.09826216474175453,0.11797504313290119,0.17160990834236145
一倍频能量占比,1746.0,0.09238937904445918,0.04295118813085985,0.026503903791308403,0.042227450758218765,0.10167039558291435,0.13102076947689056,0.15008759498596191
二倍频能量占比,1746.0,0.0026139219158223988,0.0012685707206106993,0.0005973138031549752,0.001443380257114768,0.002414202783256769,0.0037417502026073635,0.005982514936476946
三四倍频能量占比,1746.0,0.49786316448948503,0.24627859937861946,0.19028706848621368,0.254060797393322,0.4388660192489624,0.8016781210899353,0.8375581502914429
