特征名称,数量,均值,标准差,最小值,25分位数,中位数,75分位数,最大值
均方根_RMS,1746.0,0.019854390055457513,0.006289687487832956,0.012711006216704845,0.014950721990317106,0.01661690603941679,0.025431559421122074,0.03454505279660225
峰值_Peak,1746.0,0.06478433029988583,0.013753304394039349,0.04030245169997215,0.054143751971423626,0.06121421977877617,0.07412773370742798,0.11552155762910843
峰峰值_PeakToPeak,1746.0,0.12126634427413498,0.025347433212616347,0.07665540277957916,0.10166005417704582,0.11306357383728027,0.1408122405409813,0.2071332037448883
偏度_Skewness,1746.0,-0.11217979609460611,0.11784358140216664,-0.4205135107040405,-0.1648695096373558,-0.12157044932246208,-0.046810501255095005,0.12964093685150146
峭度_Kurtosis,1746.0,2.67688785208323,0.3488511047083185,2.061433792114258,2.2950631380081177,2.7872202396392822,2.956886947154999,3.3621392250061035
峰值因子_CrestFactor,1746.0,3.3767910639842085,0.48054424380257077,2.3830636996358483,2.9732999456637232,3.3796872493651513,3.6972857862012667,5.293434594786034
频率重心_Hz,1746.0,1096.0552242915421,353.5388787174438,565.2953503292829,650.0913726782726,1186.6556705611074,1421.881148670659,1629.9893244436275
0到1kHz能量占比,1746.0,0.6599279422769568,0.1635673155296337,0.4056774973869324,0.5050165206193924,0.6229057908058167,0.8585096597671509,0.9015494585037231
1到3kHz能量占比,1746.0,0.25023719833743463,0.13438672090838444,0.05960538610816002,0.096117177978158,0.27514077723026276,0.37636204063892365,0.4832359552383423
3到5kHz能量占比,1746.0,0.08979808381904783,0.034791066947824724,0.03491397574543953,0.048540448769927025,0.09826214611530304,0.11797504685819149,0.17160992324352264
一倍频能量占比,1746.0,0.09238937917781005,0.0429511877771692,0.026503901928663254,0.042227434925735,0.10167039185762405,0.13102076947689056,0.1500876098871231
二倍频能量占比,1746.0,0.0026139219267238335,0.001268570737916394,0.0005973136867396533,0.0014433801698032767,0.002414203598164022,0.0037417502026073635,0.005982514936476946
三四倍频能量占比,1746.0,0.49786316681939163,0.24627860040895225,0.1902870237827301,0.254060797393322,0.43886598944664,0.8016781210899353,0.8375580906867981
